"year","state","acres","farms","cropland","cropland_irr","cropland_nonirr","agland","pastureland","deflator","cpi"
1986,"FLORIDA",11900000,39000,NA,NA,NA,1537,NA,58.393,109.608333333333
1987,"FLORIDA",11700000,40000,NA,NA,NA,1605,NA,59.8785,113.625
1988,"FLORIDA",11500000,41000,NA,NA,NA,1790,NA,61.9735,118.258333333333
1989,"FLORIDA",11200000,41000,NA,NA,NA,1880,NA,64.38775,123.966666666667
1990,"FLORIDA",10900000,41000,NA,NA,NA,2070,NA,66.77425,130.658333333333
1991,"FLORIDA",10500000,40000,NA,NA,NA,2110,NA,68.993,136.191666666667
1992,"FLORIDA",10500000,39000,NA,NA,NA,2033,NA,70.5635,140.316666666667
1993,"FLORIDA",10800000,45000,NA,NA,NA,2037,NA,72.24375,144.458333333333
1994,"FLORIDA",10800000,45000,NA,NA,NA,2060,NA,73.7805,148.225
1995,"FLORIDA",10700000,45000,NA,NA,NA,2110,NA,75.32125,152.383333333333
1996,"FLORIDA",10700000,45000,NA,NA,NA,2150,NA,76.695,156.85
1997,"FLORIDA",10600000,45000,3280,4100,1550,2200,1430,78.0085,160.516666666667
1998,"FLORIDA",10500000,45000,3230,4000,1600,2240,1450,78.85475,163.008333333333
1999,"FLORIDA",10500000,45000,3460,4120,2080,2350,1600,80.0605,166.575
2000,"FLORIDA",10400000,44000,3550,4220,2150,2500,1750,81.88275,172.2
2001,"FLORIDA",10300000,44000,3720,4280,2530,2600,1850,83.75275,177.066666666667
2002,"FLORIDA",10300000,44000,3730,4330,2460,2720,1950,85.0375,179.875
2003,"FLORIDA",10040000,44000,3690,4180,2670,2900,2100,86.7285,183.958333333333
2004,"FLORIDA",9830000,43200,3400,4140,2690,2920,2120,89.1135,188.883333333333
2005,"FLORIDA",9570000,42000,6260,7140,5410,4790,4570,91.98125,195.291666666667
2006,"FLORIDA",9460000,41000,6540,7330,5780,5230,4810,94.8115,201.591666666667
2007,"FLORIDA",9300000,47500,6860,7580,6160,5500,5360,97.33375,207.342416666667
2008,"FLORIDA",9300000,47500,6980,7790,6300,5640,5930,99.24975,215.3025
2009,"FLORIDA",9350000,47700,6610,7200,6070,5300,5450,99.99975,214.537
2010,"FLORIDA",9400000,47600,6550,7100,6040,5090,5360,101.217,218.0555
2011,"FLORIDA",9450000,47700,6580,7090,6110,5130,4910,103.30725,224.939166666667
2012,"FLORIDA",9550000,47700,6420,7180,5720,5160,4820,105.213,229.593916666667
2013,"FLORIDA",9550000,47700,6450,7280,5660,5200,4850,106.90975,232.957083333333
2014,"FLORIDA",9500000,47600,6500,7430,5630,5250,4910,108.82275,236.736166666667
2015,"FLORIDA",9450000,47300,6560,7570,5610,5400,4900,109.9965,237.017
2016,"FLORIDA",9450000,47300,6730,7600,5900,5300,5100,111.436,240.007166666667
1850,"GEORGIA",NA,NA,NA,NA,NA,4,NA,NA,NA
1860,"GEORGIA",NA,NA,NA,NA,NA,6,NA,NA,NA
1870,"GEORGIA",NA,NA,NA,NA,NA,3,NA,NA,NA
1880,"GEORGIA",NA,NA,NA,NA,NA,4,NA,NA,NA
1890,"GEORGIA",NA,NA,NA,NA,NA,6,NA,NA,NA
1900,"GEORGIA",NA,NA,NA,NA,NA,7,NA,NA,NA
1910,"GEORGIA",NA,293000,NA,NA,NA,18,NA,NA,NA
1911,"GEORGIA",NA,296000,NA,NA,NA,18,NA,NA,NA
1912,"GEORGIA",NA,298000,NA,NA,NA,19,NA,NA,NA
1913,"GEORGIA",NA,300000,NA,NA,NA,20,NA,NA,9.88333333333333
1914,"GEORGIA",NA,302000,NA,NA,NA,20,NA,NA,10.0166666666667
1915,"GEORGIA",NA,304000,NA,NA,NA,18,NA,NA,10.1083333333333
1916,"GEORGIA",NA,305000,NA,NA,NA,21,NA,NA,10.8833333333333
1917,"GEORGIA",NA,307000,NA,NA,NA,23,NA,NA,12.825
1918,"GEORGIA",NA,309000,NA,NA,NA,27,NA,NA,15.0416666666667
1919,"GEORGIA",NA,310000,NA,NA,NA,35,NA,NA,17.3333333333333
1920,"GEORGIA",NA,311000,NA,NA,NA,45,NA,NA,20.0416666666667
1921,"GEORGIA",NA,307000,NA,NA,NA,35,NA,NA,17.85
1922,"GEORGIA",NA,300000,NA,NA,NA,28,NA,NA,16.75
1923,"GEORGIA",NA,292000,NA,NA,NA,27,NA,NA,17.05
1924,"GEORGIA",NA,281000,NA,NA,NA,27,NA,NA,17.125
1925,"GEORGIA",NA,271000,NA,NA,NA,27,NA,NA,17.5416666666667
1926,"GEORGIA",NA,268000,NA,NA,NA,27,NA,NA,17.7
1927,"GEORGIA",NA,267000,NA,NA,NA,25,NA,NA,17.3583333333333
1928,"GEORGIA",NA,266000,NA,NA,NA,25,NA,NA,17.1583333333333
1929,"GEORGIA",NA,266000,NA,NA,NA,26,NA,NA,17.1583333333333
1930,"GEORGIA",NA,265000,NA,NA,NA,26,NA,NA,16.7
1931,"GEORGIA",NA,263000,NA,NA,NA,24,NA,NA,15.2083333333333
1932,"GEORGIA",NA,262000,NA,NA,NA,19,NA,NA,13.6416666666667
1933,"GEORGIA",NA,260000,NA,NA,NA,15,NA,NA,12.9333333333333
1934,"GEORGIA",NA,255000,NA,NA,NA,17,NA,NA,13.3833333333333
1935,"GEORGIA",NA,251000,NA,NA,NA,18,NA,NA,13.725
1936,"GEORGIA",NA,250000,NA,NA,NA,19,NA,NA,13.8666666666667
1937,"GEORGIA",NA,250000,NA,NA,NA,20,NA,NA,14.3833333333333
1938,"GEORGIA",NA,250000,NA,NA,NA,20,NA,NA,14.0916666666667
1939,"GEORGIA",NA,241000,NA,NA,NA,20,NA,NA,13.9083333333333
1940,"GEORGIA",NA,230000,NA,NA,NA,20,NA,NA,14.0083333333333
1941,"GEORGIA",NA,232000,NA,NA,NA,22,NA,NA,14.725
1942,"GEORGIA",NA,232000,NA,NA,NA,23,NA,NA,16.3333333333333
1943,"GEORGIA",NA,225000,NA,NA,NA,25,NA,NA,17.3083333333333
1944,"GEORGIA",NA,230000,NA,NA,NA,29,NA,NA,17.5916666666667
1945,"GEORGIA",NA,233000,NA,NA,NA,32,NA,NA,17.9916666666667
1946,"GEORGIA",NA,234000,NA,NA,NA,35,NA,NA,19.5166666666667
1947,"GEORGIA",NA,235000,NA,NA,NA,41,NA,12.886,22.325
1948,"GEORGIA",NA,230000,NA,NA,NA,43,NA,13.603,24.0416666666667
1949,"GEORGIA",NA,218000,NA,NA,NA,47,NA,13.58075,23.8083333333333
1950,"GEORGIA",26000000,208000,NA,NA,NA,43,NA,13.7375,24.0666666666667
1951,"GEORGIA",25800000,196000,NA,NA,NA,48,NA,14.7145,25.9583333333333
1952,"GEORGIA",25600000,183000,NA,NA,NA,56,NA,14.971,26.55
1953,"GEORGIA",25400000,170000,NA,NA,NA,60,NA,15.157,26.7666666666667
1954,"GEORGIA",25200000,161000,NA,NA,NA,59,NA,15.2975,26.85
1955,"GEORGIA",24800000,153000,NA,NA,NA,61,NA,15.55775,26.775
1956,"GEORGIA",24400000,145000,NA,NA,NA,66,NA,16.09,27.1833333333333
1957,"GEORGIA",23800000,137000,NA,NA,NA,74,NA,16.6245,28.0916666666667
1958,"GEORGIA",23200000,129000,NA,NA,NA,81,NA,16.9995,28.8583333333333
1959,"GEORGIA",22600000,121000,NA,NA,NA,91,NA,17.23675,29.15
1960,"GEORGIA",22000000,112000,NA,NA,NA,99,NA,17.4765,29.575
1961,"GEORGIA",21400000,105000,NA,NA,NA,102,NA,17.66775,29.8916666666667
1962,"GEORGIA",20500000,98000,NA,NA,NA,115,NA,17.886,30.25
1963,"GEORGIA",19800000,92000,NA,NA,NA,115,NA,18.08725,30.625
1964,"GEORGIA",19200000,88000,NA,NA,NA,128,NA,18.365,31.0166666666667
1965,"GEORGIA",18900000,86000,NA,NA,NA,142,NA,18.7,31.5083333333333
1966,"GEORGIA",18700000,84000,NA,NA,NA,155,NA,19.226,32.4583333333333
1967,"GEORGIA",18400000,82000,NA,NA,NA,171,NA,19.78475,33.3583333333333
1968,"GEORGIA",17900000,80000,NA,NA,NA,185,NA,20.62475,34.7833333333333
1969,"GEORGIA",17600000,78000,NA,NA,NA,214,NA,21.6415,36.6833333333333
1970,"GEORGIA",17400000,77000,NA,NA,NA,234,NA,22.7845,38.825
1971,"GEORGIA",17200000,76000,NA,NA,NA,255,NA,23.9395,40.4916666666667
1972,"GEORGIA",17200000,76000,NA,NA,NA,290,NA,24.97325,41.8166666666667
1973,"GEORGIA",17000000,74000,NA,NA,NA,329,NA,26.33475,44.4
1974,"GEORGIA",17000000,73000,NA,NA,NA,424,NA,28.7075,49.3083333333333
1975,"GEORGIA",15000000,60000,NA,NA,NA,474,NA,31.35275,53.8166666666667
1976,"GEORGIA",15000000,60000,NA,NA,NA,507,NA,33.07925,56.9083333333333
1977,"GEORGIA",15000000,59000,NA,NA,NA,581,NA,35.1265,60.6083333333333
1978,"GEORGIA",15000000,59000,NA,NA,NA,685,NA,37.58525,65.2333333333333
1979,"GEORGIA",15000000,59000,NA,NA,NA,777,NA,40.70175,72.575
1980,"GEORGIA",15000000,59000,NA,NA,NA,896,NA,44.37825,82.4083333333333
1981,"GEORGIA",14500000,60000,NA,NA,NA,971,NA,48.5215,90.925
1982,"GEORGIA",14000000,57000,NA,NA,NA,926,NA,51.53025,96.5
1983,"GEORGIA",13700000,55000,NA,NA,NA,929,NA,53.5535,99.6
1984,"GEORGIA",13500000,51000,NA,NA,NA,921,NA,55.45925,103.883333333333
1985,"GEORGIA",13500000,50000,NA,NA,NA,886,NA,57.23575,107.566666666667
1986,"GEORGIA",13300000,49000,NA,NA,NA,853,NA,58.393,109.608333333333
1987,"GEORGIA",13000000,48000,NA,NA,NA,889,NA,59.8785,113.625
1988,"GEORGIA",13000000,49000,NA,NA,NA,920,NA,61.9735,118.258333333333
1989,"GEORGIA",12600000,48000,NA,NA,NA,1030,NA,64.38775,123.966666666667
1990,"GEORGIA",12500000,48000,NA,NA,NA,1079,NA,66.77425,130.658333333333
1991,"GEORGIA",12100000,46000,NA,NA,NA,1095,NA,68.993,136.191666666667
1992,"GEORGIA",12100000,46000,NA,NA,NA,1025,NA,70.5635,140.316666666667
1993,"GEORGIA",11700000,49000,NA,NA,NA,1131,NA,72.24375,144.458333333333
1994,"GEORGIA",11600000,49000,NA,NA,NA,1150,NA,73.7805,148.225
1995,"GEORGIA",11500000,49000,NA,NA,NA,1260,NA,75.32125,152.383333333333
1996,"GEORGIA",11400000,49000,NA,NA,NA,1360,NA,76.695,156.85
1997,"GEORGIA",11300000,49000,1060,1230,1020,1430,1650,78.0085,160.516666666667
1998,"GEORGIA",11050000,49000,1140,1290,1110,1510,1770,78.85475,163.008333333333
1999,"GEORGIA",11000000,49000,1380,1500,1350,1630,1900,80.0605,166.575
2000,"GEORGIA",10900000,49100,1600,1600,1600,1750,2050,81.88275,172.2
2001,"GEORGIA",10850000,49200,1780,1700,1800,1900,2280,83.75275,177.066666666667
2002,"GEORGIA",10800000,49300,1970,1800,2000,2050,2500,85.0375,179.875
2003,"GEORGIA",10800000,49300,2150,1900,2200,2200,2750,86.7285,183.958333333333
2004,"GEORGIA",10800000,49000,2240,2080,2280,2330,2920,89.1135,188.883333333333
2005,"GEORGIA",10700000,49000,2700,2700,2700,3140,5500,91.98125,195.291666666667
2006,"GEORGIA",11000000,49000,3620,3500,3650,3800,7100,94.8115,201.591666666667
2007,"GEORGIA",10300000,47900,4290,3550,4450,4350,7850,97.33375,207.342416666667
2008,"GEORGIA",10300000,46600,4540,3600,4750,4300,7450,99.24975,215.3025
2009,"GEORGIA",9800000,45300,3980,3440,4130,4030,5900,99.99975,214.537
2010,"GEORGIA",9700000,44200,3390,3090,3480,3770,5220,101.217,218.0555
2011,"GEORGIA",9700000,43400,3360,3140,3420,3610,4750,103.30725,224.939166666667
2012,"GEORGIA",9600000,42300,3130,2980,3170,3260,3910,105.213,229.593916666667
2013,"GEORGIA",9500000,42000,3080,3120,3070,3300,3850,106.90975,232.957083333333
2014,"GEORGIA",9400000,41100,3080,3430,2950,3300,3650,108.82275,236.736166666667
2015,"GEORGIA",9400000,41000,3160,3600,3000,3270,3580,109.9965,237.017
2016,"GEORGIA",9400000,41000,3410,4000,3200,3400,3530,111.436,240.007166666667
1850,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,9.88333333333333
1914,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,10.0166666666667
1915,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,10.1083333333333
1916,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,10.8833333333333
1917,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,12.825
1918,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,15.0416666666667
1919,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.3333333333333
1920,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,20.0416666666667
1921,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.85
1922,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,16.75
1923,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.05
1924,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.125
1925,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.5416666666667
1926,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.7
1927,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.3583333333333
1928,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.1583333333333
1929,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.1583333333333
1930,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,16.7
1931,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,15.2083333333333
1932,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,13.6416666666667
1933,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,12.9333333333333
1934,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,13.3833333333333
1935,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,13.725
1936,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,13.8666666666667
1937,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,14.3833333333333
1938,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,14.0916666666667
1939,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,13.9083333333333
1940,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,14.0083333333333
1941,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,14.725
1942,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,16.3333333333333
1943,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.3083333333333
1944,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.5916666666667
1945,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,17.9916666666667
1946,"HAWAII",NA,NA,NA,NA,NA,NA,NA,NA,19.5166666666667
1947,"HAWAII",NA,NA,NA,NA,NA,NA,NA,12.886,22.325
1948,"HAWAII",NA,NA,NA,NA,NA,NA,NA,13.603,24.0416666666667
1949,"HAWAII",NA,NA,NA,NA,NA,NA,NA,13.58075,23.8083333333333
1950,"HAWAII",NA,NA,NA,NA,NA,NA,NA,13.7375,24.0666666666667
1951,"HAWAII",NA,NA,NA,NA,NA,NA,NA,14.7145,25.9583333333333
1952,"HAWAII",NA,NA,NA,NA,NA,NA,NA,14.971,26.55
1953,"HAWAII",NA,NA,NA,NA,NA,NA,NA,15.157,26.7666666666667
1954,"HAWAII",NA,NA,NA,NA,NA,NA,NA,15.2975,26.85
1955,"HAWAII",NA,NA,NA,NA,NA,NA,NA,15.55775,26.775
1956,"HAWAII",NA,NA,NA,NA,NA,NA,NA,16.09,27.1833333333333
1957,"HAWAII",NA,NA,NA,NA,NA,NA,NA,16.6245,28.0916666666667
1958,"HAWAII",NA,NA,NA,NA,NA,NA,NA,16.9995,28.8583333333333
1959,"HAWAII",2600000,6800,NA,NA,NA,NA,NA,17.23675,29.15
1960,"HAWAII",2600000,6600,NA,NA,NA,NA,NA,17.4765,29.575
1961,"HAWAII",2550000,6200,NA,NA,NA,NA,NA,17.66775,29.8916666666667
1962,"HAWAII",2500000,5700,NA,NA,NA,NA,NA,17.886,30.25
1963,"HAWAII",2450000,5200,NA,NA,NA,NA,NA,18.08725,30.625
1964,"HAWAII",2450000,5100,NA,NA,NA,NA,NA,18.365,31.0166666666667
1965,"HAWAII",2400000,5000,NA,NA,NA,NA,NA,18.7,31.5083333333333
1966,"HAWAII",2400000,4900,NA,NA,NA,NA,NA,19.226,32.4583333333333
1967,"HAWAII",2360000,4800,NA,NA,NA,NA,NA,19.78475,33.3583333333333
1968,"HAWAII",2330000,4700,NA,NA,NA,NA,NA,20.62475,34.7833333333333
1969,"HAWAII",2310000,4600,NA,NA,NA,NA,NA,21.6415,36.6833333333333
1970,"HAWAII",2300000,4500,NA,NA,NA,NA,NA,22.7845,38.825
1971,"HAWAII",2300000,4300,NA,NA,NA,NA,NA,23.9395,40.4916666666667
1972,"HAWAII",2300000,4200,NA,NA,NA,NA,NA,24.97325,41.8166666666667
1973,"HAWAII",2300000,4100,NA,NA,NA,NA,NA,26.33475,44.4
1974,"HAWAII",2300000,4100,NA,NA,NA,NA,NA,28.7075,49.3083333333333
1975,"HAWAII",2150000,3900,NA,NA,NA,NA,NA,31.35275,53.8166666666667
1976,"HAWAII",2100000,4000,NA,NA,NA,NA,NA,33.07925,56.9083333333333
1977,"HAWAII",2050000,4100,NA,NA,NA,NA,NA,35.1265,60.6083333333333
1978,"HAWAII",1980000,4300,NA,NA,NA,NA,NA,37.58525,65.2333333333333
1979,"HAWAII",1970000,4300,NA,NA,NA,NA,NA,40.70175,72.575
1980,"HAWAII",1970000,4300,NA,NA,NA,NA,NA,44.37825,82.4083333333333
1981,"HAWAII",1965000,4400,NA,NA,NA,NA,NA,48.5215,90.925
1982,"HAWAII",1960000,4500,NA,NA,NA,NA,NA,51.53025,96.5
1983,"HAWAII",1900000,4500,NA,NA,NA,NA,NA,53.5535,99.6
1984,"HAWAII",1850000,4600,NA,NA,NA,NA,NA,55.45925,103.883333333333
1985,"HAWAII",1800000,4600,NA,NA,NA,NA,NA,57.23575,107.566666666667
1986,"HAWAII",1750000,4600,NA,NA,NA,NA,NA,58.393,109.608333333333
1987,"HAWAII",1720000,4650,NA,NA,NA,NA,NA,59.8785,113.625
1988,"HAWAII",1700000,4650,NA,NA,NA,NA,NA,61.9735,118.258333333333
1989,"HAWAII",1700000,4650,NA,NA,NA,NA,NA,64.38775,123.966666666667
1990,"HAWAII",1680000,4700,NA,NA,NA,NA,NA,66.77425,130.658333333333
1991,"HAWAII",1630000,4700,NA,NA,NA,NA,NA,68.993,136.191666666667
1992,"HAWAII",1590000,4800,NA,NA,NA,NA,NA,70.5635,140.316666666667
1993,"HAWAII",1560000,5200,NA,NA,NA,NA,NA,72.24375,144.458333333333
1994,"HAWAII",1530000,5300,NA,NA,NA,NA,NA,73.7805,148.225
1995,"HAWAII",1470000,5300,NA,NA,NA,NA,NA,75.32125,152.383333333333
1996,"HAWAII",1440000,5400,NA,NA,NA,NA,NA,76.695,156.85
1997,"HAWAII",1440000,5500,NA,NA,NA,2405,NA,78.0085,160.516666666667
1998,"HAWAII",1440000,5500,NA,NA,NA,2405,NA,78.85475,163.008333333333
1999,"HAWAII",1420000,5500,NA,NA,NA,2405,NA,80.0605,166.575
2000,"HAWAII",1380000,5500,NA,NA,NA,2405,NA,81.88275,172.2
2001,"HAWAII",1350000,5500,NA,NA,NA,2405,NA,83.75275,177.066666666667
2002,"HAWAII",1300000,5500,NA,NA,NA,3507,NA,85.0375,179.875
2003,"HAWAII",1300000,5500,NA,NA,NA,3507,NA,86.7285,183.958333333333
2004,"HAWAII",1200000,5500,NA,NA,NA,3507,NA,89.1135,188.883333333333
2005,"HAWAII",1200000,5500,NA,NA,NA,3507,NA,91.98125,195.291666666667
2006,"HAWAII",1160000,5500,NA,NA,NA,3507,NA,94.8115,201.591666666667
2007,"HAWAII",1120000,7500,NA,NA,NA,7688,NA,97.33375,207.342416666667
2008,"HAWAII",1100000,7400,NA,NA,NA,7688,NA,99.24975,215.3025
2009,"HAWAII",1110000,7300,NA,NA,NA,7688,NA,99.99975,214.537
2010,"HAWAII",1100000,7200,NA,NA,NA,7688,NA,101.217,218.0555
2011,"HAWAII",1130000,7100,NA,NA,NA,7688,NA,103.30725,224.939166666667
2012,"HAWAII",1130000,7000,NA,NA,NA,9058,NA,105.213,229.593916666667
2013,"HAWAII",1120000,7000,NA,NA,NA,9058,NA,106.90975,232.957083333333
2014,"HAWAII",1120000,7000,NA,NA,NA,9058,NA,108.82275,236.736166666667
2015,"HAWAII",1120000,7000,NA,NA,NA,9058,NA,109.9965,237.017
2016,"HAWAII",1120000,7000,NA,NA,NA,9058,NA,111.436,240.007166666667
1850,"IDAHO",NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"IDAHO",NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,"IDAHO",NA,NA,NA,NA,NA,5,NA,NA,NA
1880,"IDAHO",NA,NA,NA,NA,NA,9,NA,NA,NA
1890,"IDAHO",NA,NA,NA,NA,NA,13,NA,NA,NA
1900,"IDAHO",NA,NA,NA,NA,NA,13,NA,NA,NA
1910,"IDAHO",NA,31500,NA,NA,NA,46,NA,NA,NA
1911,"IDAHO",NA,33000,NA,NA,NA,46,NA,NA,NA
1912,"IDAHO",NA,34000,NA,NA,NA,46,NA,NA,NA
1913,"IDAHO",NA,35400,NA,NA,NA,46,NA,NA,9.88333333333333
1914,"IDAHO",NA,36500,NA,NA,NA,44,NA,NA,10.0166666666667
1915,"IDAHO",NA,37800,NA,NA,NA,42,NA,NA,10.1083333333333
1916,"IDAHO",NA,39000,NA,NA,NA,43,NA,NA,10.8833333333333
1917,"IDAHO",NA,40000,NA,NA,NA,48,NA,NA,12.825
1918,"IDAHO",NA,41000,NA,NA,NA,54,NA,NA,15.0416666666667
1919,"IDAHO",NA,41500,NA,NA,NA,59,NA,NA,17.3333333333333
1920,"IDAHO",NA,42100,NA,NA,NA,69,NA,NA,20.0416666666667
1921,"IDAHO",NA,42600,NA,NA,NA,64,NA,NA,17.85
1922,"IDAHO",NA,42600,NA,NA,NA,54,NA,NA,16.75
1923,"IDAHO",NA,42500,NA,NA,NA,52,NA,NA,17.05
1924,"IDAHO",NA,42400,NA,NA,NA,49,NA,NA,17.125
1925,"IDAHO",NA,42200,NA,NA,NA,46,NA,NA,17.5416666666667
1926,"IDAHO",NA,42200,NA,NA,NA,44,NA,NA,17.7
1927,"IDAHO",NA,42600,NA,NA,NA,45,NA,NA,17.3583333333333
1928,"IDAHO",NA,43400,NA,NA,NA,46,NA,NA,17.1583333333333
1929,"IDAHO",NA,44000,NA,NA,NA,46,NA,NA,17.1583333333333
1930,"IDAHO",NA,44000,NA,NA,NA,45,NA,NA,16.7
1931,"IDAHO",NA,44000,NA,NA,NA,39,NA,NA,15.2083333333333
1932,"IDAHO",NA,44000,NA,NA,NA,32,NA,NA,13.6416666666667
1933,"IDAHO",NA,44000,NA,NA,NA,25,NA,NA,12.9333333333333
1934,"IDAHO",NA,44000,NA,NA,NA,26,NA,NA,13.3833333333333
1935,"IDAHO",NA,45500,NA,NA,NA,28,NA,NA,13.725
1936,"IDAHO",NA,45000,NA,NA,NA,30,NA,NA,13.8666666666667
1937,"IDAHO",NA,45000,NA,NA,NA,33,NA,NA,14.3833333333333
1938,"IDAHO",NA,45000,NA,NA,NA,32,NA,NA,14.0916666666667
1939,"IDAHO",NA,45000,NA,NA,NA,32,NA,NA,13.9083333333333
1940,"IDAHO",NA,44500,NA,NA,NA,33,NA,NA,14.0083333333333
1941,"IDAHO",NA,44500,NA,NA,NA,33,NA,NA,14.725
1942,"IDAHO",NA,43500,NA,NA,NA,36,NA,NA,16.3333333333333
1943,"IDAHO",NA,42500,NA,NA,NA,41,NA,NA,17.3083333333333
1944,"IDAHO",NA,42000,NA,NA,NA,48,NA,NA,17.5916666666667
1945,"IDAHO",NA,42000,NA,NA,NA,54,NA,NA,17.9916666666667
1946,"IDAHO",NA,42000,NA,NA,NA,59,NA,NA,19.5166666666667
1947,"IDAHO",NA,42000,NA,NA,NA,64,NA,12.886,22.325
1948,"IDAHO",NA,42000,NA,NA,NA,69,NA,13.603,24.0416666666667
1949,"IDAHO",NA,41900,NA,NA,NA,70,NA,13.58075,23.8083333333333
1950,"IDAHO",14000000,41900,NA,NA,NA,70,NA,13.7375,24.0666666666667
1951,"IDAHO",14200000,41200,NA,NA,NA,81,NA,14.7145,25.9583333333333
1952,"IDAHO",14500000,40500,NA,NA,NA,87,NA,14.971,26.55
1953,"IDAHO",14800000,39800,NA,NA,NA,89,NA,15.157,26.7666666666667
1954,"IDAHO",15000000,39300,NA,NA,NA,88,NA,15.2975,26.85
1955,"IDAHO",15000000,38900,NA,NA,NA,91,NA,15.55775,26.775
1956,"IDAHO",15000000,38500,NA,NA,NA,95,NA,16.09,27.1833333333333
1957,"IDAHO",15100000,38200,NA,NA,NA,98,NA,16.6245,28.0916666666667
1958,"IDAHO",15200000,37900,NA,NA,NA,102,NA,16.9995,28.8583333333333
1959,"IDAHO",15300000,37600,NA,NA,NA,109,NA,17.23675,29.15
1960,"IDAHO",15300000,36300,NA,NA,NA,112,NA,17.4765,29.575
1961,"IDAHO",15300000,35000,NA,NA,NA,114,NA,17.66775,29.8916666666667
1962,"IDAHO",15300000,34000,NA,NA,NA,120,NA,17.886,30.25
1963,"IDAHO",15300000,33000,NA,NA,NA,124,NA,18.08725,30.625
1964,"IDAHO",15400000,32100,NA,NA,NA,129,NA,18.365,31.0166666666667
1965,"IDAHO",15400000,31200,NA,NA,NA,134,NA,18.7,31.5083333333333
1966,"IDAHO",15400000,30700,NA,NA,NA,142,NA,19.226,32.4583333333333
1967,"IDAHO",15400000,30000,NA,NA,NA,152,NA,19.78475,33.3583333333333
1968,"IDAHO",15400000,29400,NA,NA,NA,162,NA,20.62475,34.7833333333333
1969,"IDAHO",15400000,28900,NA,NA,NA,168,NA,21.6415,36.6833333333333
1970,"IDAHO",15500000,28500,NA,NA,NA,177,NA,22.7845,38.825
1971,"IDAHO",15500000,28200,NA,NA,NA,188,NA,23.9395,40.4916666666667
1972,"IDAHO",15500000,27900,NA,NA,NA,205,NA,24.97325,41.8166666666667
1973,"IDAHO",15500000,27700,NA,NA,NA,229,NA,26.33475,44.4
1974,"IDAHO",15500000,27500,NA,NA,NA,287,NA,28.7075,49.3083333333333
1975,"IDAHO",15400000,24100,NA,NA,NA,339,NA,31.35275,53.8166666666667
1976,"IDAHO",15400000,24300,NA,NA,NA,386,NA,33.07925,56.9083333333333
1977,"IDAHO",15400000,24200,NA,NA,NA,454,NA,35.1265,60.6083333333333
1978,"IDAHO",15400000,23900,NA,NA,NA,515,NA,37.58525,65.2333333333333
1979,"IDAHO",15400000,24300,NA,NA,NA,585,NA,40.70175,72.575
